Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,105.080002,109.279999,103.500000,108.300003,84.353905,951600
2010-11-01,108.919998,112.300003,107.480003,108.180000,84.260437,1070400
2010-12-01,109.919998,115.599998,109.879997,115.139999,89.681519,1670300
2011-01-01,115.940002,119.220001,115.480003,117.699997,92.095192,4402150
2011-02-01,118.480003,123.220001,118.379997,121.779999,95.287613,2761400
2011-03-01,122.279999,122.300003,114.639999,121.239998,94.865067,3866600
2011-04-01,122.120003,124.879997,118.440002,124.800003,98.087875,2302350
2011-05-01,125.440002,125.440002,120.160004,123.339996,96.940384,2455100
2011-06-01,123.040001,123.040001,115.540001,120.680000,94.849716,2549750
2011-07-01,120.739998,124.099998,117.440002,118.199997,93.352013,2977450
2011-08-01,119.779999,119.820000,100.919998,111.680000,88.202667,9424800
2011-09-01,111.739998,112.800003,102.379997,103.519997,81.758041,4571000
2011-10-01,102.820000,118.300003,98.239998,114.639999,91.049240,8390200
2011-11-01,111.540001,117.019997,106.300003,114.300003,90.779205,5038850
2011-12-01,114.139999,118.160004,110.440002,114.900002,91.255737,7915950
2012-01-01,116.900002,122.000000,115.680000,120.040001,95.908234,4406500
2012-02-01,121.000000,126.400002,120.860001,125.180000,100.014954,5166000
2012-03-01,125.639999,129.839996,122.900002,128.740005,102.859299,10065050
2012-04-01,128.740005,130.119995,124.220001,127.919998,102.660019,9620750
2012-05-01,127.959999,129.600006,118.559998,120.239998,96.496567,10443300
2012-06-01,118.339996,125.300003,116.339996,124.559998,99.963501,7559800
2012-07-01,124.900002,127.459999,121.320000,126.059998,101.697578,8482850
2012-08-01,126.879997,130.940002,124.080002,129.220001,104.246880,8237950
2012-09-01,129.139999,135.580002,128.240005,131.839996,106.360550,8057100
2012-10-01,132.300003,134.720001,128.539993,129.259995,104.814850,7821650
2012-11-01,129.720001,131.580002,123.379997,130.000000,105.414917,9391150
2012-12-01,130.740005,133.320007,127.800003,130.380005,105.723038,11730150
2013-01-01,132.940002,138.199997,132.559998,137.119995,111.987854,18929050
2013-02-01,137.979996,140.360001,136.220001,138.940002,113.474258,16919250
2013-03-01,138.320007,143.619995,137.740005,143.279999,117.018768,14609500
2013-04-01,143.399994,146.279999,140.580002,146.279999,120.035194,18849100
2013-05-01,145.919998,154.860001,144.779999,149.679993,122.825172,14066150
2013-06-01,150.059998,152.000000,142.660004,146.679993,120.363472,26009350
2013-07-01,147.740005,155.619995,146.759995,154.460007,127.389771,16691850
2013-08-01,155.679993,156.619995,149.339996,149.699997,123.464020,14860050
2013-09-01,151.320007,159.039993,149.940002,154.000000,127.010361,23482750
2013-10-01,154.039993,162.619995,150.720001,160.880005,133.351807,33454450
2013-11-01,161.279999,166.509995,160.100006,165.699997,137.347061,26113000
2013-12-01,165.949997,169.229996,162.009995,169.149994,140.206726,31082700
2014-01-01,168.529999,169.429993,162.070007,163.179993,135.994019,29636000
2014-02-01,163.020004,171.470001,159.179993,170.630005,142.202789,24164200
2014-03-01,169.190002,173.190002,168.380005,171.350006,142.802887,24621000
2014-04-01,171.869995,173.820007,166.110001,172.589996,144.492874,27491700
2014-05-01,172.500000,176.690002,170.440002,176.550003,147.808228,20604100
2014-06-01,176.830002,180.570007,175.940002,179.429993,150.219345,19356700
2014-07-01,179.880005,182.500000,176.960007,176.960007,148.818634,18901400
2014-08-01,176.520004,184.169998,174.699997,183.990005,154.730667,23864300
2014-09-01,184.300003,185.839996,179.770004,180.589996,151.871338,17064700
2014-10-01,180.339996,185.050003,166.850006,184.929993,156.261673,47152300
2014-11-01,185.199997,190.630005,183.449997,190.029999,160.571045,27698100
2014-12-01,189.289993,191.630005,181.440002,188.399994,159.193771,49040300
2015-01-01,189.289993,189.720001,182.089996,182.990005,154.622421,51629600
2015-02-01,183.500000,194.649994,181.470001,193.199997,163.249603,30737100
2015-03-01,193.309998,194.470001,187.149994,189.199997,159.869720,35632400
2015-04-01,189.169998,194.740005,187.470001,191.100006,162.299088,30252000
2015-05-01,191.960007,195.949997,189.529999,193.490005,164.328903,25759100
2015-06-01,194.229996,195.529999,188.240005,188.839996,160.379593,32509600
2015-07-01,190.649994,195.460007,187.190002,192.949997,164.636276,35084700
2015-08-01,193.000000,193.750000,168.080002,181.110001,154.533676,75872400
2015-09-01,177.110001,185.990005,171.360001,175.710007,149.926086,57666300
2015-10-01,175.970001,192.000000,173.350006,190.559998,163.461853,38175300
2015-11-01,190.979996,194.059998,185.360001,191.369995,164.156631,38629500
2015-12-01,192.050003,193.449997,183.309998,186.929993,160.347977,62486000
2016-01-01,183.770004,185.119995,165.960007,177.750000,153.381744,82617200
2016-02-01,176.610001,180.360001,166.050003,177.380005,153.062485,54708700
2016-03-01,178.839996,189.720001,178.330002,188.559998,162.709793,50007300
2016-04-01,187.399994,193.429993,186.259995,189.220001,164.155579,42415400
